season,holiday,workingday,weather,temp,humidity,windspeed,count,date,hours
1,0,0,1,9.84,81,0.0,16,0,0
1,0,0,1,9.02,80,0.0,40,0,1
1,0,0,1,9.02,80,0.0,32,0,2
1,0,0,1,9.84,75,0.0,13,0,3
1,0,0,1,9.84,75,0.0,1,0,4
1,0,0,2,9.84,75,6.0032,1,0,5
1,0,0,1,9.02,80,0.0,2,0,6
1,0,0,1,8.2,86,0.0,3,0,7
1,0,0,1,9.84,75,0.0,8,0,8
1,0,0,1,13.12,76,0.0,14,0,9
1,0,0,1,15.58,76,16.9979,36,0,10
1,0,0,1,14.76,81,19.0012,56,0,11
1,0,0,1,17.22,77,19.0012,84,0,12
1,0,0,2,18.86,72,19.9995,94,0,13
1,0,0,2,18.86,72,19.0012,106,0,14
1,0,0,2,18.04,77,19.9995,110,0,15
1,0,0,2,17.22,82,19.9995,93,0,16
1,0,0,2,18.04,82,19.0012,67,0,17
1,0,0,3,17.22,88,16.9979,35,0,18
1,0,0,3,17.22,88,16.9979,37,0,19
1,0,0,2,16.4,87,16.9979,36,0,20
1,0,0,2,16.4,87,12.998,34,0,21
1,0,0,2,16.4,94,15.0013,28,0,22
1,0,0,2,18.86,88,19.9995,39,0,23
1,0,0,2,18.86,88,19.9995,17,1,0
1,0,0,2,18.04,94,16.9979,17,1,1
1,0,0,2,17.22,100,19.0012,9,1,2
1,0,0,2,18.86,94,12.998,6,1,3
1,0,0,2,18.86,94,12.998,3,1,4
1,0,0,3,17.22,77,19.9995,2,1,6
1,0,0,2,16.4,76,12.998,1,1,7
1,0,0,3,16.4,71,15.0013,8,1,8
1,0,0,2,15.58,76,15.0013,20,1,9
1,0,0,2,14.76,81,15.0013,53,1,10
1,0,0,2,14.76,71,16.9979,70,1,11
1,0,0,2,14.76,66,19.9995,93,1,12
1,0,0,2,14.76,66,8.9981,75,1,13
1,0,0,3,14.76,76,12.998,59,1,14
1,0,0,3,13.94,81,11.0014,74,1,15
1,0,0,3,13.94,71,11.0014,76,1,16
1,0,0,1,13.94,57,12.998,65,1,17
1,0,0,2,14.76,46,22.0028,53,1,18
1,0,0,1,13.12,42,30.0026,30,1,19
1,0,0,1,12.3,39,23.9994,22,1,20
1,0,0,1,10.66,44,22.0028,31,1,21
1,0,0,1,9.84,44,19.9995,9,1,22
1,0,0,1,9.02,47,11.0014,8,1,23
1,0,1,1,9.02,44,23.9994,5,2,0
1,0,1,1,8.2,44,27.9993,2,2,1
1,0,1,1,6.56,47,26.0027,1,2,4
1,0,1,1,6.56,47,19.0012,3,2,5
1,0,1,1,5.74,50,26.0027,30,2,6
1,0,1,1,5.74,50,12.998,64,2,7
1,0,1,1,5.74,50,19.0012,154,2,8
1,0,1,1,6.56,43,26.0027,88,2,9
1,0,1,1,7.38,43,16.9979,44,2,10
1,0,1,1,8.2,40,22.0028,51,2,11
1,0,1,1,9.02,35,19.9995,61,2,12
1,0,1,1,9.84,35,19.0012,61,2,13
1,0,1,1,10.66,30,19.0012,77,2,14
1,0,1,1,10.66,30,16.9979,72,2,15
1,0,1,1,10.66,30,16.9979,76,2,16
1,0,1,1,9.84,30,15.0013,157,2,17
1,0,1,1,9.84,32,7.0015,157,2,18
1,0,1,1,8.2,47,0.0,110,2,19
1,0,1,1,8.2,47,7.0015,52,2,20
1,0,1,1,7.38,64,8.9981,52,2,21
1,0,1,1,5.74,69,8.9981,20,2,22
1,0,1,1,7.38,55,7.0015,12,2,23
1,0,1,1,6.56,55,7.0015,5,3,0
1,0,1,1,6.56,59,7.0015,2,3,1
1,0,1,1,5.74,63,8.9981,1,3,2
1,0,1,1,5.74,63,6.0032,2,3,4
1,0,1,1,4.92,68,7.0015,4,3,5
